query,Description,COG
group_1250,transfer protein trbJ,U
group_2529,-,-
traI,Relaxase mobilization nuclease family protein,U
group_4067,Acetyltransferase (GNAT) domain,J
group_5564,Chloramphenicol phosphotransferase-like protein,S
xerC_5_xerC_2_xerC_3,"Integrase is necessary for integration of the phage into the host genome by site-specific recombination. In conjunction with excisionase, integrase is also necessary for excision of the prophage from the host genome",J
group_3346,-,-
group_2531,Protein of unknown function (DUF3987),S
group_4937,Inovirus Gp2,S
group_3886,HNH nucleases,L
ydiO,C-5 cytosine-specific DNA methylase,L
group_3749,Restriction endonuclease,S
group_3166,cog cog1662,L
dcm_2,Belongs to the class I-like SAM-binding methyltransferase superfamily. C5-methyltransferase family,H
ecoRIIR,EcoRII C terminal,L
group_322,"Mu transposase, C-terminal",L
group_3676,Tn3 transposase DDE domain,L
group_2657,"helix_turn_helix, Arsenical Resistance Operon Repressor",K
uvrD_1_pcrA,PFAM UvrD REP helicase,L
group_1990,AAA ATPase domain,L
group_1968,RadC-like JAB domain,E
group_7965,CbtA_toxin of type IV toxin-antitoxin system,S
group_7967,-,-
group_7968,Bacterial mobilisation protein (MobC),S
katA,serves to protect cells from the toxic effects of hydrogen peroxide,C
mtlK_uxaB_1_por_2,Belongs to the mannitol dehydrogenase family,G
group_7970,-,-
group_7971,lysozyme,M
group_7972,-,-
group_7973,SpoVT / AbrB like domain,T
group_9729,Domain of unknown function (DUF1837),S
group_9700,COG1204 Superfamily II helicase,L
bepA,"Functions as both a chaperone and a metalloprotease. Maintains the integrity of the outer membrane by promoting either the assembly or the elimination of outer membrane proteins, depending on their folding state",S
group_7974,-,-
group_9407,Protein of unknown function (DUF1524),S
group_5282,-,-
grxA,Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins,O
group_3487,-,-
group_5709,-,-
group_7966,regulation of cytoskeleton organization,S
group_6320,"MbeB-like, N-term conserved region",S
group_2370,-,-
group_1559,-,-
group_7400,Protein of unknown function (DUF551),D
mtnC,"Bifunctional enzyme that catalyzes the enolization of 2,3-diketo-5-methylthiopentyl-1-phosphate (DK-MTP-1-P) into the intermediate 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate (HK-MTPenyl-1-P), which is then dephosphorylated to form the acireductone 1,2-dihydroxy-3-keto-5-methylthiopentene (DHK- MTPene)",E
group_7975,Protein of unknown function (DUF1073),S
group_9450,-,-
group_7976,-,-
group_7977,-,-
group_9507,-,-
group_7978,"Superinfection exclusion protein, bacteriophage P22",S
group_1497,-,-
ydcF_ydcF_1,DUF218 domain,S
ydcF_ydcF_1_2*,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,E
group_3331,Regulatory protein MarR,K
group_7981,-,-
group_7980,-,-
group_7982,FRG,K
ves_1_ves_ves_2,Belongs to the Ves family,S
group_7984,-,-
group_5390,-,-
group_6365,-,-
group_6363,-,-
group_6360,Bacteriophage Mu Gp45 protein,S
group_6359,-,-
group_5875,PFAM Pathogenesis-related transcriptional factor and ERF protein,S
group_5458,Uncharacterized alpha/beta hydrolase domain (DUF2235),S
group_9410,ATPase activity,O
ssuC_1_ssuC_2_ssuC_3,ABC transporter (Permease,P
narK_2_napA_narK_narK_1,Catalytic subunit of the nitrate reductase (NAP). Only expressed at high levels during aerobic growth. NapAB complex receives electrons from the membrane-anchored tetraheme protein NapC. Essential function for nitrate assimilation and may have a role in anaerobic metabolism,C
group_1751,-,-
intS_intS_1_intS_2,Belongs to the 'phage' integrase family,L
group_1043,Domain of unknown function (DUF927),L
group_9628,COG0732 Restriction endonuclease S subunits,V
group_6472,Type III,L
group_6469,GTP-binding protein,S
group_6470,transcriptional regulator,K
group_6467,-,-
group_6464,regulation of single-species biofilm formation,K
group_6471,-,-
group_6481,Belongs to the UPF0401 family,S
group_6474,"Psort location Cytoplasmic, score 8.96",S
klcA,Escherichia coli O157 H7 ortholog z1656,S
group_6479,Belongs to the UPF0758 family,E
group_6468,Protein of unknown function (DUF987),S
group_6480,"CbeA_antitoxin, type IV, cytoskeleton bundling-enhancing factor A",S
group_6463,"inhibits FtsZ GTP-dependent polymerization and GTPase activity as well as MreB ATP-dependent polymerization. Binds to both the N- and C-terminus of FtsZ, likely blocking its polymerization. Overexpression results in inhibition of growth in liquid cultures and decrease in colony formation",S
group_6476,-,-
group_6466,Enterobacterial protein of unknown function (DUF957),S
group_6477,Domain of unknown function (DUF4942),L
htrE_3,Outer membrane usher protein,NU
group_7887,"Cobyrinic acid a,c-diamide synthase",D
group_7886,ParG,S
group_7889,-,-
group_7995,-,-
group_7997,-,-
pir,Initiator Replication protein,L
group_8000,Antitoxin component of a toxin-antitoxin (TA) module,D
group_7986,"ParE toxin of type II toxin-antitoxin system, parDE",DJ
group_8002,-,-
group_7996,-,-
group_7998,type IV secretion,U
group_7992,-,-
group_7994,Conjugal transfer protein,U
group_7990,VirB8 protein,U
group_7991,"Type IV secretory pathway, VirB9 components",U
group_7988,Conjugal transfer protein,U
group_7999,"COG0630 Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",NU
virD4,"Type IV secretory pathway, VirD4 components",U
group_7993,Transcriptional regulator,K
topB_3,"Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone",L
topB_4,"Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone",L
stpA,Domain in histone-like proteins of HNS family,S
group_8001,EAL domain,T
group_4399,-,-
group_4958,MTH538 TIR-like domain (DUF1863),S
intA_3,Belongs to the 'phage' integrase family,L
group_4104,CAAX protease self-immunity,S
group_8006,-,-
group_8003,Domain of unknown function (DUF4145),S
group_8007,-,-
group_9586,Domain of Unknown Function with PDB structure (DUF3850),S
group_1341,-,-
group_8008,"to Escherichia coli UMN026, Repressor protein from bacteriophage origin (NCBI YP_002411715.1)",K
xerC_1_xerC_3,Belongs to the 'phage' integrase family,L
group_2899,Ead/Ea22-like protein,S
group_4653,-,-
group_273,tape measure protein,D
intA_intS_intA_2_intA_1,Belongs to the 'phage' integrase family,L
rhaS_3,AraC Family,K
cyoC_2_cyoC_1,"cytochrome o ubiquinol oxidase, subunit III",C
cyoA_2_cyoA_1,ubiquinol oxidase subunit,C
emrB_2_emrB_1,Major facilitator superfamily,EGP
emrK,"Secretion protein, HlyD",V
oprM_2,"efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family",MU
group_1665,LysM domain,M
group_1707,Protein of unknown function (DUF2857),S
group_1724,-,-
group_8011,-,-
group_8010,MTH538 TIR-like domain (DUF1863),S
group_8012,MTH538 TIR-like domain (DUF1863),S
group_8014,TIR domain,S
group_8015,-,-
group_8016,AAA ATPase domain,S
group_8013,-,-
group_8018,MTH538 TIR-like domain (DUF1863),S
group_8020,-,-
group_8019,kinase activity,S
group_8017,Thymidylate synthase,F
group_1110,Bacterial conjugation TrbI-like protein,U
group_1079,"CagE, TrbE, VirB family, component of type IV transporter system",U
gltF_1_gltF_5_gltF_4,Protein of unknown function (DUF1120),NU
group_6711,Type IV secretion system coupling protein,U
group_9506,TrwC relaxase,L
finO,ProQ/FINO family,T
group_6733,IncFII RepA protein family,S
bdlA_2,"chemotaxis, protein",NT
group_5640,Plasmid stability protein,S
xerC_4_xerC_3_xerC_5,Phage integrase family,L
group_1589,-,-
group_4714,-,-
group_5476,Type IV secretory system Conjugative DNA transfer,U
ylpA_2_ylpA_1,Enterobacterial TraT complement resistance protein,S
group_5179,LysR substrate binding domain,K
group_5352,Protein of unknown function (DUF1304),S
kefF_2_kefF_1,"Regulatory subunit of a potassium efflux system that confers protection against electrophiles. Required for full activity of KefC. Shows redox enzymatic activity, but this enzymatic activity is not required for activation of KefC",C
group_4063,Protein of unknown function (DUF2786),S
group_4449,Integrating conjugative element protein,S
group_1160,Domain of unknown function DUF29,T
group_8022,-,-
group_4715,-,-
group_5749,Integrating conjugative element protein,S
lexA_2_lexA_3_lexA_4,Belongs to the peptidase S24 family,KT
group_3155,Belongs to the 'phage' integrase family,L
group_794,Phage integrase family,L
group_2189,glyoxalase bleomycin resistance protein dioxygenase,E
crcB_2,"Important for reducing fluoride concentration in the cell, thus reducing its toxicity",D
gpmA_2,Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate,G
eno_1,Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis,G
group_1489,Universal stress protein family,T
ppaC,DHHA2,C
group_5120,Uracil-DNA glycosylase,L
group_2823,malic acid transport protein,P
group_3119,"Lactonase, 7-bladed beta-propeller",S
yajL_1_yajL_2,Thij pfpi,S
group_3423,Fimbrial protein,NU
group_5185,CRISPR associated protein,S
sdhE,Flavinator of succinate dehydrogenase,S
yejF_2_yejF_1_yejF_3,Belongs to the ABC transporter superfamily,P
ytfJ_1_ytfJ_2,Bacterial protein of unknown function (YtfJ_HI0045),S
group_5952,Protein of unknown function (DUF1175),S
ysnE,COG0454 Histone acetyltransferase HPA2 and related acetyltransferases,K
group_3745,Protein of unknown function (DUF1435),S
group_8024,"BCCT, betaine/carnitine/choline family transporter",P
group_8025,"Bacterial Type VI secretion, VC_A0110, EvfL, ImpJ, VasE",S
umuC_5_umuC_2_umuC_1_umuC_6_umuC_4,efficiency is maximal in the presence of the beta sliding-clamp and clamp-loading complex of DNA polymerase III plus single-stranded binding protein (SSB). RecA and to a lesser extent the beta clamp- complex may target Pol V to replication complexes stalled at DNA template lesions,L
group_2305,-,-
group_2306,Terminase,F
group_9485,Belongs to the glycosyl hydrolase 5 (cellulase A) family,G
group_9485_2*,Membrane,S
group_8026,-,-
dcd_2,dUTP biosynthetic process,F
group_752,Belongs to the 'phage' integrase family,L
group_324,-,-
group_5393,-,-
rhlE_2,dEAD DEAH box helicase,L
group_3874,-,-
group_747,Phage virion morphogenesis family,S
group_5327,-,-
group_8028,Integron gene cassette protein,S
group_1440,Bacteriophage CI repressor C-terminal domain,K
group_8029,Deoxycytidylate deaminase,F
group_8030,COG0732 Restriction endonuclease S subunits,V
group_9389,-,-
group_8031,Domain of unknown function (DUF4868),S
group_317,protein conserved in bacteria,S
group_3825,Protein of unknown function (DUF1040),S
group_8032,DNA replication,S
group_2412,-,-
group_8033,SIR2-like domain,F
group_9552,Transposase,L
bglA_2,Belongs to the glycosyl hydrolase 1 family,G
group_5417,Cache domain,NT
sdaC_2_sdaC_1_yqeG_sdaC_3,amino acid,E
group_4895,-,-
group_6274,"Caudovirales tail fibre assembly protein, lambda gpK",S
group_8034,-,-
tdh_2_tdh_1,Dehydrogenase,E
group_2962,Histidine kinase-like ATPases,T
group_4722,"Response regulator, receiver",T
group_1614,Ogr/Delta-like zinc finger,S
group_1309,-,-
group_1169,Peptidoglycan-binding domain 1 protein,M
group_864,-,-
group_318,nuclear chromosome segregation,D
group_1181,-,-
group_5283,-,-
group_4469,IS1 transposase,L
group_3260,"helix_turn_helix, Arsenical Resistance Operon Repressor",K
group_1227,ATPase involved in DNA repair,L
group_3007,-,-
dnaB_2_dnaB_1_dnaB_3,"it exhibits DNA-dependent ATPase activity and contains distinct active sites for ATP binding, DNA binding, and interaction with DnaC protein, primase, and other prepriming proteins",L
group_1276,Prophage tail length tape measure protein,D
group_174,Transcriptional regulator,K
group_9694,PFAM transposase IS3 IS911 family protein,L
hmp_2,"Is involved in NO detoxification in an aerobic process, termed nitric oxide dioxygenase (NOD) reaction that utilizes O(2) and NAD(P)H to convert NO to nitrate, which protects the bacterium from various noxious nitrogen compounds. Therefore, plays a central role in the inducible response to nitrosative stress",C
hmp_3,"Is involved in NO detoxification in an aerobic process, termed nitric oxide dioxygenase (NOD) reaction that utilizes O(2) and NAD(P)H to convert NO to nitrate, which protects the bacterium from various noxious nitrogen compounds. Therefore, plays a central role in the inducible response to nitrosative stress",C
group_3034,lysozyme,G
group_3445,-,-
group_2760,PsiA protein,S
group_3240,-,-
group_4679,Plasmid stability protein,S
group_3189,StbA protein,O
umuD_2,Peptidase S24-like,L
group_3446,DNA polymerase,L
group_3103,Belongs to the 'phage' integrase family,L
group_778,"site-specific recombinase, phage integrase family",L
group_1841,AAA domain,V
group_4411,-,-
fdhA,Dehydrogenase,E
group_1812,-,-
group_1354,Antirestriction protein (ArdA),S
klcA_2_klcA_3_klcA_1_klcA,Antirestriction protein,S
group_5568,-,-
group_6395,-,-
group_8036,tail collar domain protein,S
group_8037,Usher protein,NU
group_1100,-,-
group_394,-,-
group_966,-,-
group_1190,Cro,K
lexA_2_lexA_1,Peptidase S24-like,KT
group_1486,-,-
group_8039,Protein of unknown function (DUF550),S
group_9595,-,-
group_1865,Bacteriophage CI repressor C-terminal domain,K
group_8040,Domain of unknown function (DUF4297),S
group_9386,ATPase involved in DNA repair,L
hexR_2_hexR_4,transcriptional regulator,K
pssA,Catalyzes de novo synthesis of phosphatidylserine from CDP-diacylglycerol and L-serine which leads eventually to the production of phosphatidylethanolamine,I
group_8041,nuclease of the RecB family,L
group_2386,Pfam:DUF1311,S
group_9626,Transcriptional regulator,K
group_8042,-,-
group_8051,-,-
group_8048,HNH endonuclease,V
group_8046,PFAM transposase mutator type,L
group_8044,heat shock protein binding,O
group_8056,-,-
group_5450,-,-
dbpA_dbpA_1_dbpA_2,helicase superfamily c-terminal domain,L
group_8059,-,-
group_3311,-,-
group_8060,integrase family,L
group_8061,-,-
group_8062,-,-
group_9726,-,-
group_8065,-,-
group_9709,Belongs to the histone-like protein H-NS family,L
group_9615,Conjugal transfer protein TraD,S
ybeM,Nitrilase cyanide hydratase and apolipoprotein N-acyltransferase,S
group_8087,-,-
group_8066,Abi-like protein,V
group_8067,-,-
group_8080,-,-
group_8068,-,-
group_8090,tail tape measure protein,S
group_8076,-,-
group_8072,-,-
group_8078,-,-
group_8069,-,-
group_8082,PerC transcriptional activator,S
group_8086,Domain of unknown function (DUF927),L
group_8070,-,-
group_8074,-,-
group_8085,-,-
group_8075,Ash protein family,S
group_8077,Domain of unknown function (DUF4222),S
group_8091,Phage regulatory protein Rha (Phage_pRha),S
group_8081,-,-
group_8071,-,-
group_5433,Phage major capsid protein E,S
group_7038,exo-alpha-(2->6)-sialidase activity,G
group_1450,"Phage tail assembly chaperone proteins, E, or 41 or 14",S
group_1482,Phage tail tube protein FII,S
group_1631,Phage tail sheath C-terminal domain,S
hin,"Resolvase, N terminal domain",L
group_5682,-,-
ligB_2_ligB_ligB_1,Catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction,L
group_8092,PFAM FRG domain,S
rlmA,Methyl-transferase,Q
group_9633,-,-
group_9643,reverse transcriptase,L
group_9659,-,-
yhbO_1_hchA_1,intracellular protease amidase,F
group_5734,Belongs to the glycosyl hydrolase 31 family,G
group_574,Belongs to the 'phage' integrase family,L
group_8094,plasmid maintenance,D
group_5350,protein conserved in bacteria,S
malI_1,"Protein involved in sequence-specific DNA binding transcription factor activity, DNA binding and regulation of transcription, DNA-templated",K
ygaV,transcriptional regulator,K
group_8095,-,-
group_1615,-,-
group_8096,transposition,L
group_5818,"Integrase is necessary for integration of the phage into the host genome by site-specific recombination. In conjunction with excisionase, integrase is also necessary for excision of the prophage from the host genome (By similarity)",L
group_282,Pfam:DUF5051,S
group_5317,"Plays an important role in DNA replication, recombination and repair. Binds to ssDNA and to an array of partner proteins to recruit them to their sites of action during DNA metabolism",L
group_1251,-,-
group_357,-,-
group_824,Chaperone of endosialidase,S
dmlR_7,LysR substrate binding domain,K
fldP,flavodoxin nitric oxide synthase,S
yajO_2,Aldo Keto reductase,C
ybiU_ybiU_1_ybiU_2,Protein of unknown function (DUF1479),S
group_8100,-,-
group_8101,SIR2-like domain,K
group_8102,-,-
group_8103,Inovirus Gp2,S
group_5168,-,-
group_8106,Domain of unknown function (DUF4263),S
srlR_2,DeoR C terminal sensor domain,K
gatD,5-dehydrogenase,E
gatC,PTS system sugar-specific permease component,G
gatB,"PTS system, Lactose/Cellobiose specific IIB subunit",G
gatA,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",GT
gatZ,"Component of the tagatose-1,6-bisphosphate aldolase KbaYZ that is required for full activity and stability of the Y subunit. Could have a chaperone-like function for the proper and stable folding of KbaY. When expressed alone, KbaZ does not show any aldolase activity",G
gatY,"Catalytic subunit of the tagatose-1,6-bisphosphate aldolase GatYZ, which catalyzes the reversible aldol condensation of dihydroxyacetone phosphate (DHAP or glycerone-phosphate) with glyceraldehyde 3-phosphate (G3P) to produce tagatose 1,6- bisphosphate (TBP). Requires GatZ subunit for full activity and stability. Is involved in the catabolism of galactitol",F
ygjV,Membrane,S
pdeB_2_pdeB_3_pdeB_pdeB_1,signal transduction protein containing sensor and EAL,T
group_4047,Fimbrial protein,NU
group_3587,Immunity protein 52,S
hupA,"Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions",L
group_2145,Major Facilitator Superfamily,EGP
group_3509,Glutathione-dependent formaldehyde-activating,S
group_460,Formate hydrogen-lyase,E
vapB,SpoVT / AbrB like domain,S
group_916,HNH endonuclease,L
group_7415,-,-
group_7415_2*,"C-terminal, D2-small domain, of ClpB protein",O
group_8109,-,-
group_8107,-,-
recD2_2,type I site-specific deoxyribonuclease activity,L
mbeC_2_mbeC_1,Bacterial mobilisation protein (MobC),S
group_7637,Type I restriction modification DNA specificity domain,V
group_1871,"TraM protein, DNA-binding",S
group_9446,Carbamoyl-phosphate synthetase ammonia chain,F
group_9446_2*,Carbamoyl-phosphate synthetase glutamine chain,F
group_8110,"Integrase is necessary for integration of the phage into the host genome by site-specific recombination. In conjunction with excisionase, integrase is also necessary for excision of the prophage from the host genome. Part of the cryptic P4-like prophage CP4-57, it excises the prophage when overexpressed, which also requires integration host factor (encoded by ihfA and ihfB). Overexpression of AlpA leads to excision of the CP4-57 prophage, which inactivates ssrA (the gene upstream of the prophage) that encodes tmRNA which is required to rescue stalled ribosomes in a process known as trans-translation",L
group_8113,p-loop domain protein,S
group_8114,Inovirus Gp2,S
group_8115,Protein of unknown function (DUF3987),S
group_8118,-,-
group_8119,-,-
group_2026,nuclear chromosome segregation,D
group_3261,regulation of single-species biofilm formation,K
group_989,Protein of unknown function (DUF1524),L
group_3887,Abortive infection C-terminus,S
aplIR,restriction endonuclease,L
group_2372,restriction endonuclease,L
group_5418,"Resolvase, N terminal domain",L
group_3100,-,-
group_3428,Replication protein C (RepC),L
group_5846,"Resolvase, N terminal domain",L
group_4899,Phage P2 GpU,S
group_7943,P2 phage tail completion protein R (GpR),S
group_2360,portal protein,S
group_9591,Recombinase zinc beta ribbon domain,L
group_5851,-,-
bin3_2_bin3,"Resolvase, N terminal domain",L
group_8123,-,-
group_8122,-,-
group_8124,Prokaryotic E2 family B,H
group_8121,-,-
group_8125,Patatin-like phospholipase,S
group_2986,-,-
group_2129,-,-
group_3269,Phage Mu protein F like protein,S
group_3961,-,-
group_4669,-,-
group_8126,-,-
group_4480,-,-
group_4439,-,-
group_994,PglZ domain,S
group_268,"Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair",K
group_266,DNA methylase,L
group_93,Belongs to the peptidase S16 family,LO
group_5933,growth,O
group_3038,DDE superfamily endonuclease,L
group_4841,-,-
group_4423,-,-
group_5545,-,-
group_2291,DNA excision,K
group_1749,Protein of unknown function (DUF3987),S
group_4749,Inovirus Gp2,S
era_2,50S ribosome-binding GTPase,S
group_1949,pct identical to residues 1 to 161 of 260 from GenPept.129 gb AAL67392.1 AF447814_60 (AF447814),S
yfjZ_2_cbeA_yfjZ_cbeA_2,"CbeA_antitoxin, type IV, cytoskeleton bundling-enhancing factor A",S
group_8127,COG0732 Restriction endonuclease S subunits,V
group_9596,-,-
group_1999,replication,S
group_5493,Protein of unknown function (DUF2724),S
group_2455,Baseplate J-like protein,S
group_2461,Protein of unknown function (DUF2590),S
group_2802,P2 phage tail completion protein R (GpR),S
group_2470,"Phage major capsid protein, P2 family",S
group_8128,Bacteriophage lambda Kil protein,S
group_8132,Cro,S
group_8135,regulation of mRNA catabolic process,S
group_8137,Protein of unknown function (DUF3696),S
group_3878,-,-
group_5469,head-tail adaptor,S
group_9493,DNA methylase,L
group_9750,belongs to the aldehyde dehydrogenase family,C
hsrA_1_hsrA_3_hsrA_2_mdtD_1,Major facilitator superfamily,EGP
group_4600,Membrane,S
group_1819,-,-
group_1208,Antitermination protein,O
group_4884,Phage minor tail protein,S
group_1997,"Resolvase, N terminal domain",L
group_8138,tRNA cytidylyltransferase activity,J
cmpR_2_hdfR_4_yofA,"Bacterial regulatory helix-turn-helix protein, lysR family",K
bar_yncA,Acetyltransferase (GNAT) domain,M
arsB_1_arsB_2,Involved in arsenical resistance. Thought to form the channel of an arsenite pump,P
group_8139,StbA protein,O
group_8140,-,-
group_8141,CobQ/CobB/MinD/ParA nucleotide binding domain,D
group_5712,DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA,L
group_7797,Domain of unknown function (DUF4145),S
group_9760,-,-
group_8146,Phage regulatory protein CII (CP76),S
group_8158,-,-
group_8147,Bacteriophage CI repressor C-terminal domain,K
group_8160,DNA integration,S
group_8157,-,-
group_8151,DinI-like family,S
group_8145,-,-
group_8148,-,-
group_8149,response to oxidative stress,S
group_8159,tail collar domain protein,S
group_8155,Protein of unknown function (DUF2612),S
group_8150,Baseplate J-like protein,S
group_8153,-,-
group_8143,Baseplate assembly protein,S
group_8156,tRNA_anti-like,S
group_8154,-,-
group_8144,-,-
era_1_era_2_der_2_era_3_der_1,GTP-binding protein,S
group_7809,Nacht domain,T
group_7825,-,-
moaA_1,radical SAM domain protein,I
group_7833,-,-
group_7815,Inovirus Gp2,S
group_1243,Evidence 4 Homologs of previously reported genes of,S
group_2091,Integrating conjugative element protein PilL,M
proP_1,Major facilitator superfamily,EGP
yacG,"Inhibits all the catalytic activities of DNA gyrase by preventing its interaction with DNA. Acts by binding directly to the C-terminal domain of GyrB, which probably disrupts DNA binding by the gyrase",S
group_3934,-,-
group_6035,outer membrane,S
group_3962,-,-
group_3327,Predicted membrane protein (DUF2335),S
group_3888,-,-
group_2106,ORF11CD3 domain,S
group_2149,Protein of unknown function (DUF3289),M
group_8163,short-chain dehydrogenase,IQ
ttuB_2_ttuB_1,Major facilitator superfamily,G
group_6262,-,-
group_7070,cell adhesion,K
repA,AAA domain,L
group_8164,Ead/Ea22-like protein,S
group_4064,Evidence 4 Homologs of previously reported genes of,S
group_4910,-,-
group_5230,-,-
group_4028,Protein of unknown function (DUF2859),KT
group_457,-,-
group_5666,Conjugal transfer protein TraG,U
group_5452,Plasmid protein of unknown function (Plasmid_RAQPRD),S
group_5879,Protein of unknown function (DUF3262),S
group_4797,Phage shock protein A,KT
group_5877,-,-
fokIM,D12 class N6 adenine-specific DNA methyltransferase,L
group_668,site-specific DNA-methyltransferase (adenine-specific) activity,L
group_5388,-,-
mcrB,GTPase subunit of restriction endonuclease,V
group_2619,McrBC 5-methylcytosine restriction system component,S
group_4942,-,-
group_1291,Belongs to the 'phage' integrase family,L
catM,LysR family transcriptional regulator,K
group_5058,relaxase,S
group_8165,-,-
group_8166,ATPase family associated with various cellular activities (AAA),O
group_8167,-,-
group_8169,tRNA cytidylyltransferase activity,J
group_8168,PFAM helix-turn-helix domain protein,K
group_9556,IrrE N-terminal-like domain,E
group_8170,Evidence 4 Homologs of previously reported genes of,V
group_1296,-,-
group_929,Phage tail assembly chaperone,S
group_6590,Type IV secretory pathway VirD4,U
group_6598,Type-1V conjugative transfer system mating pair stabilisation,S
group_6566,Bacterial conjugation TrbI-like protein,D
group_6559,TraE protein,S
group_6560,-,-
group_6561,-,-
group_6575,Belongs to the ParB family,K
group_6596,Helix-turn-helix domain,K
group_6535,DNA-sulfur modification-associated,S
group_6544,PFAM Phosphoadenosine phosphosulfate reductase,EH
group_6562,Domain of unknown function (DUF4942),L
group_6531,Antirestriction protein,S
group_4695,Zinc-binding dehydrogenase,C
group_8055,-,-
group_8053,Firmicute plasmid replication protein (RepL),L
group_8043,Domain of unknown function (DUF4756),S
group_8050,-,-
group_8045,-,-
dauA_1_dauA_3,transporter,P
group_1846,-,-
group_665,-,-
group_677,protein conserved in bacteria,S
group_1861,Virulence-associated protein,S
vapC_1_vapC,PIN domain,S
group_782,-,-
vapC_2_vapC_1_vapC,Toxic component of a toxin-antitoxin (TA) module. An RNase,S
group_8175,Protein of unknown function (DUF4231),S
group_8174,MTH538 TIR-like domain (DUF1863),S
group_502,-,-
group_629,-,-
group_4995,-,-
group_5760,-,-
group_8176,HNH endonuclease,L
intA_2_intA_3,Arm DNA-binding domain,L
group_8063,-,-
group_8064,-,-
group_1314,-,-
ydbD,Mn-containing catalase,P
der_1,chromosome segregation,S
group_2141,-,-
group_8177,OmpA family,M
rsxB_3,4Fe-4S binding domain,A
mboIIM,Belongs to the N(4) N(6)-methyltransferase family,L
group_8179,N-4 methylation of cytosine,L
bioH,The physiological role of BioH is to remove the methyl group introduced by BioC when the pimeloyl moiety is complete. It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway through the hydrolysis of the ester bonds of pimeloyl-ACP esters,I
group_8191,Bacteriophage replication gene A protein (GPA),S
group_8192,-,-
group_8195,CI repressor,K
group_8194,-,-
group_8193,-,-
group_9558,transcriptional regulator,K
group_8196,-,-
group_8197,COG0732 Restriction endonuclease S subunits,V
hsdR_1_hsdR_hsdR_2,"Subunit R is required for both nuclease and ATPase activities, but not for modification",L
group_8199,sequence-specific DNA binding,K
group_9452,Conjugal transfer,U
group_8202,AAA domain,S
group_8201,"Adenylyl- / guanylyl cyclase, catalytic domain",T
group_292,lysozyme,G
group_3447,-,-
group_9368,cellulase activity,S
group_4344,-,-
group_8203,COG1192 ATPases involved in chromosome partitioning,D
group_8204,outer membrane,S
group_2735,"viral capsid, decoration",S
group_1487,-,-
group_1454,viral capsid,S
group_786,peptidase activity,S
group_409,-,-
group_4379,nuclear chromosome segregation,D
group_1261,-,-
group_4688,Ead/Ea22-like protein,S
group_5276,-,-
group_3545,-,-
group_8206,"COG1670 acetyltransferases, including N-acetylases of ribosomal proteins",J
vgrG1_1,Phage late control gene D protein (GPD),MU
bglK,ROK family,GK
group_5890,Rhs element Vgr protein,S
recF_1,AAA ATPase domain,L
group_8208,Type III restriction enzyme res subunit,L
paeR7IR,Recognizes the double-stranded sequence CTCGAG and cleaves after C-1,L
group_8217,-,-
group_5939,-,-
group_5313,Helix-turn-helix domain,K
