Gene,Annotation
group_9740,hypothetical protein
group_9734,hypothetical protein
group_9733,DNA-binding protein H-NS
group_9722,hypothetical protein
group_9717,hypothetical protein
group_9714,hypothetical protein
group_9713,hypothetical protein
group_9710,hypothetical protein
group_9706,hypothetical protein
group_9690,ATP-dependent DNA helicase Rep
intA_2_intA_1_intA_4,Prophage integrase IntA
group_9669,hypothetical protein
group_9668,hypothetical protein
group_9640,hypothetical protein
group_9630,Prophage tail fiber assembly protein TfaE
group_9629,hypothetical protein
group_9621,hypothetical protein
group_9620,hypothetical protein
group_9615,hypothetical protein
group_9607,hypothetical protein
group_9605,hypothetical protein
group_9603,hypothetical protein
papA,Pap fimbrial major pilin protein
group_9582,hypothetical protein
yciE_yciE_2,Protein YciE
group_9560,hypothetical protein
group_9558,Antitoxin HigA
group_9556,hypothetical protein
group_9551,SOS response-associated protein YedK
group_9536,hypothetical protein
group_9534,hypothetical protein
group_9530,hypothetical protein
group_9518,hypothetical protein
group_9516,hypothetical protein
group_9515,hypothetical protein
group_9501,hypothetical protein
group_9498,hypothetical protein
group_9476,Thymidylate synthase
group_9475,hypothetical protein
group_9472,hypothetical protein
group_9470,hypothetical protein
group_9468,hypothetical protein
group_9463,hypothetical protein
group_9451,hypothetical protein
group_9443,hypothetical protein
group_9441,hypothetical protein
group_9433,hypothetical protein
ydiO_haeIIIM,putative BsuMI modification methylase subunit YdiO;Modification methylase HaeIII
group_9421,hypothetical protein
group_9413,hypothetical protein
group_9402,hypothetical protein
group_9394,hypothetical protein
group_9393,hypothetical protein
group_9388,hypothetical protein
pepT_1,Peptidase T
group_9379,hypothetical protein
group_9369,hypothetical protein
group_9364,hypothetical protein
group_9352,hypothetical protein
group_8996,hypothetical protein
group_8995,hypothetical protein
group_8993,hypothetical protein
group_8992,hypothetical protein
group_8991,hypothetical protein
group_8962,hypothetical protein
group_8959,hypothetical protein
group_8939,hypothetical protein
group_8929,hypothetical protein
group_8914,hypothetical protein
group_8904,hypothetical protein
group_8902,hypothetical protein
group_8901,hypothetical protein
group_8893,hypothetical protein
group_8891,hypothetical protein
group_8886,hypothetical protein
group_8885,hypothetical protein
group_8884,hypothetical protein
group_8883,hypothetical protein
group_8881,hypothetical protein
dam_2,DNA adenine methylase
group_8871,hypothetical protein
group_8868,hypothetical protein
group_8867,hypothetical protein
group_8841,hypothetical protein
group_8840,hypothetical protein
group_8839,hypothetical protein
group_8838,hypothetical protein
group_8831,hypothetical protein
group_8825,hypothetical protein
group_8824,hypothetical protein
group_8823,hypothetical protein
group_8822,hypothetical protein
group_8820,hypothetical protein
group_8811,hypothetical protein
group_8810,hypothetical protein
group_8809,hypothetical protein
group_8808,hypothetical protein
group_8807,hypothetical protein
group_8788,hypothetical protein
group_8787,hypothetical protein
group_8786,hypothetical protein
group_8765,Modification methylase FokI
group_8764,hypothetical protein
group_8763,hypothetical protein
group_8762,hypothetical protein
group_8738,hypothetical protein
group_8737,HTH-type transcriptional regulator NimR
group_8736,hypothetical protein
group_8735,hypothetical protein
group_8734,hypothetical protein
group_8733,hypothetical protein
group_8732,hypothetical protein
group_8728,hypothetical protein
group_8727,hypothetical protein
group_8726,hypothetical protein
group_8725,hypothetical protein
group_8723,hypothetical protein
group_8722,hypothetical protein
group_8718,hypothetical protein
group_8716,hypothetical protein
group_8673,hypothetical protein
group_8626,hypothetical protein
group_8614,hypothetical protein
group_8613,hypothetical protein
group_8612,hypothetical protein
group_8594,hypothetical protein
group_8524,hypothetical protein
group_8462,hypothetical protein
group_8461,hypothetical protein
group_8413,Prophage tail fiber assembly protein TfaE
group_8315,hypothetical protein
group_8314,hypothetical protein
group_8313,hypothetical protein
group_8312,hypothetical protein
group_8310,hypothetical protein
group_8309,hypothetical protein
group_8308,hypothetical protein
group_8307,hypothetical protein
group_8304,hypothetical protein
group_8303,hypothetical protein
group_8300,hypothetical protein
group_8299,hypothetical protein
group_8298,hypothetical protein
group_8286,hypothetical protein
group_8282,hypothetical protein
group_8268,hypothetical protein
group_8233,hypothetical protein
group_8219,hypothetical protein
group_8200,hypothetical protein
group_8195,hypothetical protein
group_8194,hypothetical protein
group_8193,hypothetical protein
group_8192,hypothetical protein
rsxB_3,Ion-translocating oxidoreductase complex subunit B
mboIIM,Modification methylase MboII
group_8179,hypothetical protein
group_8178,hypothetical protein
group_8169,hypothetical protein
group_8168,hypothetical protein
group_8167,hypothetical protein
group_8166,hypothetical protein
group_8165,hypothetical protein
group_8135,mRNA interferase HigB
group_8125,cGAMP-activated phospholipase
group_8124,hypothetical protein
group_8123,hypothetical protein
group_8122,hypothetical protein
group_8121,hypothetical protein
group_8120,hypothetical protein
recD2_2,ATP-dependent RecD-like DNA helicase
group_8022,hypothetical protein
group_7985,hypothetical protein
group_7973,hypothetical protein
group_7972,hypothetical protein
group_7971,hypothetical protein
group_7970,hypothetical protein
group_7969,hypothetical protein
katA,Catalase
group_7968,hypothetical protein
group_7966,Antitoxin YfjZ
group_7965,Cytoskeleton-binding toxin CbtA
group_7956,Putative prophage major tail sheath protein
group_7955,hypothetical protein
group_7953,hypothetical protein
group_7952,hypothetical protein
group_7951,Protein TraR;hypothetical protein
group_7950,hypothetical protein
group_7949,hypothetical protein
group_7948,hypothetical protein
group_7946,hypothetical protein
group_7945,hypothetical protein
group_7944,hypothetical protein
group_7943,hypothetical protein
group_7942,hypothetical protein
group_7941,hypothetical protein
group_7940,hypothetical protein
group_7939,putative BsuMI modification methylase subunit YdiO
group_7937,hypothetical protein
group_7936,hypothetical protein
group_7935,hypothetical protein
group_7934,hypothetical protein
group_7933,hypothetical protein
group_7931,hypothetical protein
group_7930,hypothetical protein
group_7928,hypothetical protein
group_7926,hypothetical protein
group_7925,Tyrosine recombinase XerC
nemA_3,N-ethylmaleimide reductase
group_7906,hypothetical protein
group_7903,hypothetical protein
group_7899,IS3 family transposase IS2
group_7865,hypothetical protein
group_7850,hypothetical protein
group_7845,hypothetical protein
group_7835,hypothetical protein
hsdR,Type-1 restriction enzyme R protein
group_7818,hypothetical protein
group_7812,hypothetical protein
group_7810,hypothetical protein
group_7774,hypothetical protein
group_7717,hypothetical protein
group_7686,hypothetical protein
group_7672,hypothetical protein
group_7663,hypothetical protein
group_7662,hypothetical protein
group_7661,hypothetical protein
group_7638,hypothetical protein
group_7637,hypothetical protein
group_7631,hypothetical protein
group_7629,hypothetical protein
group_7628,hypothetical protein
group_7626,hypothetical protein
group_7624,hypothetical protein
group_7620,hypothetical protein
group_7568,hypothetical protein
group_7562,hypothetical protein
group_7551,hypothetical protein
group_7550,hypothetical protein
group_7548,hypothetical protein
group_7546,hypothetical protein
group_7543,hypothetical protein
group_7541,hypothetical protein
group_7540,hypothetical protein
group_7539,hypothetical protein
group_7533,hypothetical protein
group_7531,hypothetical protein
group_7518,hypothetical protein
group_7517,Cyclic GMP-AMP synthase
group_7516,hypothetical protein
group_7515,hypothetical protein
group_7514,hypothetical protein
group_7513,cGAMP-activated phospholipase
group_7512,hypothetical protein
group_7511,hypothetical protein
vspR,Transcriptional regulator VspR
group_7510,hypothetical protein
group_7508,hypothetical protein
group_7507,hypothetical protein
group_7501,hypothetical protein
group_7498,hypothetical protein
group_7495,hypothetical protein
group_7491,hypothetical protein
group_7490,hypothetical protein
group_7486,hypothetical protein
group_7484,Antirestriction protein KlcA
group_7482,hypothetical protein
group_7472,hypothetical protein
group_7449,hypothetical protein
group_7430,hypothetical protein
group_7429,hypothetical protein
group_7392,hypothetical protein
group_7384,hypothetical protein
group_7382,hypothetical protein
group_7365,hypothetical protein
group_7364,hypothetical protein
group_7340,hypothetical protein
group_7326,Putative nuclease YbcO
group_7325,hypothetical protein
group_7324,hypothetical protein
group_7323,hypothetical protein
group_7322,hypothetical protein
group_7321,Killing protein KilR
group_7320,hypothetical protein
rrrD_3,Lysozyme RrrD
group_7319,hypothetical protein
group_7318,hypothetical protein
group_7317,hypothetical protein
group_7316,hypothetical protein
group_7315,Crossover junction endodeoxyribonuclease RusA
group_7314,hypothetical protein
group_7313,hypothetical protein
group_7312,hypothetical protein
group_7311,hypothetical protein
group_7310,hypothetical protein
group_7309,LexA repressor
group_7308,hypothetical protein
group_7307,Antitoxin HicB
group_7306,hypothetical protein
group_7305,hypothetical protein
group_7304,hypothetical protein
group_7303,hypothetical protein
yedK_1,SOS response-associated protein YedK
group_7302,SOS response-associated protein YedK
group_7300,hypothetical protein
group_7278,hypothetical protein
group_7277,hypothetical protein
group_7276,hypothetical protein
group_7275,hypothetical protein
group_7274,hypothetical protein
group_7267,hypothetical protein
group_7257,hypothetical protein
group_7181,hypothetical protein
group_7125,hypothetical protein
group_7115,hypothetical protein
group_7094,hypothetical protein
group_7073,hypothetical protein
group_7018,hypothetical protein
group_7017,hypothetical protein
group_7009,hypothetical protein
group_7008,hypothetical protein
group_7006,hypothetical protein
group_7005,hypothetical protein
group_7004,hypothetical protein
group_6979,hypothetical protein
group_6978,hypothetical protein
group_6977,hypothetical protein
group_6976,Nucleoid-associated protein YejK
group_6975,hypothetical protein
davD,Glutarate-semialdehyde dehydrogenase
group_6973,hypothetical protein
group_6955,hypothetical protein
group_6954,hypothetical protein
group_6953,hypothetical protein
group_6952,hypothetical protein
group_6951,hypothetical protein
group_6950,hypothetical protein
papD,Chaperone protein PapD
papH_1,PAP fimbrial minor pilin protein
papC_1,Outer membrane usher protein PapC
papK,Fimbrial adapter PapK
group_6927,hypothetical protein
fimD_2_fimD_4,Outer membrane usher protein FimD
apxIC,RTX-I toxin-activating lysine-acyltransferase ApxIC
group_6926,hypothetical protein
hlyD,Hemolysin secretion protein D chromosomal
group_6925,hypothetical protein
lktA,Leukotoxin
group_6924,hypothetical protein
ltxB,Leukotoxin export ATP-binding protein LtxB
group_6918,hypothetical protein
group_6917,hypothetical protein
group_6894,hypothetical protein
group_6890,hypothetical protein
group_6888,hypothetical protein
group_6880,hypothetical protein
group_6876,hypothetical protein
group_6809,hypothetical protein
group_6802,hypothetical protein
group_6770,hypothetical protein
group_6749,hypothetical protein
group_6740,hypothetical protein
group_6739,hypothetical protein
group_6737,hypothetical protein
group_6732,Tn3 family transposase
group_6681,hypothetical protein
group_6678,hypothetical protein
group_6672,hypothetical protein
group_6669,hypothetical protein
group_6668,hypothetical protein
group_6637,hypothetical protein
group_6617,hypothetical protein
group_6601,hypothetical protein
group_6500,hypothetical protein
group_6499,hypothetical protein
group_6498,hypothetical protein
group_6497,hypothetical protein
group_6496,hypothetical protein
group_6495,hypothetical protein
group_6475,hypothetical protein
group_6461,hypothetical protein
group_6454,hypothetical protein
group_6452,hypothetical protein
group_6450,hypothetical protein
group_6447,hypothetical protein
group_6438,hypothetical protein
group_6433,hypothetical protein
group_6431,hypothetical protein
group_6430,hypothetical protein
group_6423,hypothetical protein
group_6419,hypothetical protein
group_6411,hypothetical protein
group_6410,hypothetical protein
group_6406,hypothetical protein
group_6403,hypothetical protein
group_6398,hypothetical protein
group_6396,hypothetical protein
group_6394,hypothetical protein
group_6391,hypothetical protein
group_6388,hypothetical protein
group_6385,hypothetical protein
group_6384,hypothetical protein
group_6368,hypothetical protein
group_6364,hypothetical protein
group_6361,hypothetical protein
group_6356,hypothetical protein
group_6285,hypothetical protein
group_6276,hypothetical protein
group_6213,hypothetical protein
group_6209,hypothetical protein
group_6207,hypothetical protein
group_6206,hypothetical protein
group_6193,hypothetical protein
group_6192,hypothetical protein
group_6190,hypothetical protein
group_6181,hypothetical protein
group_6180,hypothetical protein
group_6167,hypothetical protein
group_6152,hypothetical protein
group_6141,hypothetical protein
group_6140,hypothetical protein
group_6103,hypothetical protein
group_5936,hypothetical protein
group_5927,hypothetical protein
group_5922,hypothetical protein
group_5827,hypothetical protein
group_5817,hypothetical protein
group_5807,hypothetical protein
group_5782,hypothetical protein
pifC_pifC_2,Transcriptional repressor PifC
group_5759,hypothetical protein
traV_2,Protein TraV
group_5637,hypothetical protein
group_5564,hypothetical protein
group_5549,hypothetical protein
group_5519,hypothetical protein
group_5511,hypothetical protein
group_5384,hypothetical protein
group_5328,hypothetical protein
group_5145,Nucleoid occlusion protein
group_5092,Prophage tail fiber assembly protein TfaE
group_5007,hypothetical protein
group_4961,hypothetical protein
group_4937,hypothetical protein
group_4899,hypothetical protein
group_4838,hypothetical protein
group_4741,hypothetical protein
group_4616,hypothetical protein
group_4563,hypothetical protein
group_4553,hypothetical protein
group_4542,hypothetical protein
group_4525,hypothetical protein
group_4417,hypothetical protein
group_4357,hypothetical protein
group_4309,hypothetical protein
lpxD_1,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
group_4243,hypothetical protein
group_4217,hypothetical protein
group_4204,hypothetical protein
group_4202,hypothetical protein
group_4122,hypothetical protein
group_4090,hypothetical protein
group_4085,hypothetical protein
group_4067,hypothetical protein
traC_2,Protein TraC
group_3997,hypothetical protein
group_3963,hypothetical protein
group_3936,hypothetical protein
repA_1,Regulatory protein RepA
group_3921,hypothetical protein
group_3886,hypothetical protein
group_3876,hypothetical protein
group_3870,hypothetical protein
group_3863,hypothetical protein
group_3858,hypothetical protein
group_3806,hypothetical protein
group_3786,hypothetical protein
group_3770,hypothetical protein
group_3768,hypothetical protein
group_3749,hypothetical protein
glgS_1,Surface composition regulator
group_3709,hypothetical protein
group_3698,hypothetical protein
group_3677,hypothetical protein
group_3676,Tn3 family transposase
group_3618,hypothetical protein
group_3591,hypothetical protein
group_3584,hypothetical protein
group_3578,hypothetical protein
group_3572,hypothetical protein
group_3547,hypothetical protein
group_3535,hypothetical protein
group_3533,hypothetical protein
group_3452,hypothetical protein
group_3432,hypothetical protein
group_3387,hypothetical protein
group_3346,hypothetical protein
group_3320,hypothetical protein
group_3316,hypothetical protein
group_3296,hypothetical protein
group_3265,hypothetical protein
group_3242,hypothetical protein
group_3239,hypothetical protein
group_3220,hypothetical protein
group_3178,hypothetical protein
group_3166,IS1 family transposase IS1X2
group_3112,hypothetical protein
group_3094,hypothetical protein
group_3047,hypothetical protein
group_3044,hypothetical protein
group_2991,hypothetical protein
group_2944,hypothetical protein
group_2895,hypothetical protein
ydiO,putative BsuMI modification methylase subunit YdiO
group_2830,LexA repressor
ykfI,Toxin YkfI
group_2821,hypothetical protein
group_2783,hypothetical protein
group_2757,hypothetical protein
group_2746,hypothetical protein
group_2741,hypothetical protein
group_2680,hypothetical protein
group_2657,hypothetical protein
group_2579,hypothetical protein
group_2570,hypothetical protein
group_2531,hypothetical protein
group_2484,hypothetical protein
group_2351,hypothetical protein
group_2312,hypothetical protein
phaJ,(R)-specific enoyl-CoA hydratase
group_2027,hypothetical protein
group_2018,hypothetical protein
pcrA_uvrD_1_rep_3,ATP-dependent DNA helicase PcrA;DNA helicase II;ATP-dependent DNA helicase Rep
group_1936,hypothetical protein
group_1925,hypothetical protein
group_1893,hypothetical protein
group_1881,hypothetical protein
group_1874,hypothetical protein
group_1854,hypothetical protein
group_1820,hypothetical protein
group_1819,hypothetical protein
group_1802,hypothetical protein
group_1732,hypothetical protein
group_1731,hypothetical protein
group_1728,hypothetical protein
gltR_2,HTH-type transcriptional regulator GltR
group_1700,hypothetical protein
pnoA,Nitronate monooxygenase
group_1549,hypothetical protein
group_1525,hypothetical protein
group_1446,hypothetical protein
group_1436,hypothetical protein
group_1415,hypothetical protein
xerC_2,Tyrosine recombinase XerC
group_1315,hypothetical protein
group_1266,hypothetical protein
group_1188,hypothetical protein
group_1163,hypothetical protein
group_1135,hypothetical protein
group_1127,hypothetical protein
group_1119,hypothetical protein
group_1081,hypothetical protein
group_935,hypothetical protein
group_917,hypothetical protein
group_813,hypothetical protein
group_725,hypothetical protein
group_625,hypothetical protein
group_515,hypothetical protein
group_509,hypothetical protein
group_407,hypothetical protein
group_322,hypothetical protein
group_308,hypothetical protein
group_183,hypothetical protein
group_173,hypothetical protein
group_152,hypothetical protein
group_95,hypothetical protein
group_12,hypothetical protein
group_9760,hypothetical protein
arnC_epsJ,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase;putative glycosyltransferase EpsJ
group_9738,hypothetical protein
group_9730,hypothetical protein
group_9729,hypothetical protein
group_9711,hypothetical protein
group_9700,hypothetical protein
group_9698,hypothetical protein
group_9697,hypothetical protein
group_9695,hypothetical protein
group_9686,hypothetical protein
group_9667,hypothetical protein
group_9660,hypothetical protein
group_9655,hypothetical protein
group_9648,hypothetical protein
group_9641,Fimbrial protein PapE
group_9636,hypothetical protein
group_9622,hypothetical protein
group_9619,hypothetical protein
group_9612,hypothetical protein
group_9611,hypothetical protein
group_9610,hypothetical protein
group_9601,hypothetical protein
group_9596,hypothetical protein
group_9588,hypothetical protein
group_9585,hypothetical protein
intA_2_intA_3,Prophage integrase IntA
ssb_3,Single-stranded DNA-binding protein
group_9576,hypothetical protein
mscM_2,hypothetical protein;Miniconductance mechanosensitive channel MscM
group_9564,hypothetical protein
group_9562,hypothetical protein
group_9557,hypothetical protein
group_9547,hypothetical protein
group_9542,hypothetical protein
group_9528,hypothetical protein
group_9522,hypothetical protein
group_9514,hypothetical protein
group_9511,hypothetical protein
group_9506,hypothetical protein;Multifunctional conjugation protein TraI
group_9505,hypothetical protein
group_9492,hypothetical protein;Coupling protein TraD
group_9487,hypothetical protein
group_9484,hypothetical protein
group_9483,hypothetical protein
tsr_5_tsr_4,Methyl-accepting chemotaxis protein I
group_9471,hypothetical protein
group_9450,hypothetical protein
group_9449,hypothetical protein
group_9447,hypothetical protein
group_9444,hypothetical protein
group_9432,hypothetical protein
group_9428,hypothetical protein
group_9425,hypothetical protein
group_9409,hypothetical protein
group_9408,hypothetical protein
group_9400,hypothetical protein
group_9397,hypothetical protein
group_9386,hypothetical protein
uvrD_1_uvrD_2,DNA helicase II
group_9380,hypothetical protein
group_9373,hypothetical protein
group_9371,hypothetical protein
group_9370,hypothetical protein
group_9365,hypothetical protein
group_9363,hypothetical protein
group_9362,hypothetical protein
queD_1,6-carboxy-5678-tetrahydropterin synthase
group_9360,hypothetical protein
group_9359,hypothetical protein
group_9358,hypothetical protein
group_9357,hypothetical protein
group_9356,hypothetical protein
group_9355,hypothetical protein
cshA_1,DEAD-box ATP-dependent RNA helicase CshA
group_9354,RNA polymerase-associated protein RapA
group_9328,hypothetical protein
group_9286,hypothetical protein
group_9282,hypothetical protein
group_9281,hypothetical protein
group_9277,hypothetical protein
group_9188,hypothetical protein
group_9176,hypothetical protein
group_9170,hypothetical protein
group_9168,hypothetical protein
group_9094,hypothetical protein
group_9071,hypothetical protein
group_9047,hypothetical protein
ybaQ_2,putative HTH-type transcriptional regulator YbaQ
group_8952,hypothetical protein
group_8938,hypothetical protein
group_8937,hypothetical protein
group_8935,hypothetical protein
mutL_1,DNA mismatch repair protein MutL
group_8909,hypothetical protein
group_8865,hypothetical protein
group_8858,hypothetical protein
group_8851,hypothetical protein
group_8848,hypothetical protein
group_8847,hypothetical protein
group_8836,hypothetical protein
group_8835,hypothetical protein
group_8834,hypothetical protein
group_8833,hypothetical protein
group_8832,hypothetical protein
group_8830,hypothetical protein
group_8815,hypothetical protein
group_8794,hypothetical protein
group_8793,hypothetical protein
group_8792,hypothetical protein
group_8790,hypothetical protein
group_8773,hypothetical protein
group_8766,hypothetical protein
group_8761,hypothetical protein
group_8760,hypothetical protein
group_8759,hypothetical protein
group_8754,hypothetical protein
group_8753,hypothetical protein
group_8752,hypothetical protein
group_8745,hypothetical protein
group_8743,hypothetical protein
group_8742,hypothetical protein
group_8740,Anaerobic sulfatase-maturating enzyme
group_8730,hypothetical protein
group_8724,hypothetical protein
group_8719,hypothetical protein
group_8717,hypothetical protein
group_8715,hypothetical protein
group_8692,hypothetical protein
group_8681,hypothetical protein
group_8680,Prophage tail fiber assembly protein TfaE
group_8672,hypothetical protein
group_8668,Manganese transport system membrane protein MntB
group_8667,Manganese-binding lipoprotein MntA
group_8666,Manganese transport system ATP-binding protein MntB
group_8630,hypothetical protein
group_8629,hypothetical protein
group_8625,hypothetical protein
group_8596,hypothetical protein
group_8590,hypothetical protein
tetA,Tetracycline resistance protein class C
group_8588,Tetracycline repressor protein class A from transposon 1721
group_8585,hypothetical protein
group_8580,hypothetical protein
group_8573,hypothetical protein
group_8572,hypothetical protein
group_8571,Replication initiation protein
group_8570,Protein UmuD
group_8569,hypothetical protein
group_8568,Plasmid segregation protein ParM
group_8567,Protein UmuC
group_8566,Tyrosine recombinase XerC
group_8565,hypothetical protein
group_8564,hypothetical protein
group_8563,hypothetical protein
group_8502,hypothetical protein
group_8500,hypothetical protein
group_8497,hypothetical protein
srlE,PTS system glucitol/sorbitol-specific EIIB component
iolG,Myo-inositol 2-dehydrogenase
srlB,PTS system glucitol/sorbitol-specific EIIA component
group_8489,hypothetical protein
group_8487,hypothetical protein
group_8486,hypothetical protein
group_8485,hypothetical protein
group_8484,hypothetical protein
group_8480,hypothetical protein
group_8466,hypothetical protein
group_8465,hypothetical protein
group_8464,hypothetical protein
group_8444,hypothetical protein
group_8443,hypothetical protein
group_8306,hypothetical protein
group_8305,hypothetical protein
group_8279,hypothetical protein
group_8278,hypothetical protein
group_8277,hypothetical protein
group_8274,hypothetical protein
group_8272,hypothetical protein
group_8271,hypothetical protein
group_8231,hypothetical protein
group_8220,hypothetical protein
group_8204,hypothetical protein
group_8203,hypothetical protein
group_8202,hypothetical protein
group_8201,hypothetical protein
group_8197,hypothetical protein
group_8177,hypothetical protein
group_8137,hypothetical protein
group_8136,hypothetical protein
group_8106,hypothetical protein
group_8105,hypothetical protein
group_8104,hypothetical protein
group_8103,hypothetical protein
group_8102,hypothetical protein
group_8101,hypothetical protein
group_8100,hypothetical protein
group_8099,hypothetical protein
group_8052,hypothetical protein
group_8040,hypothetical protein
group_8023,hypothetical protein
group_8008,hypothetical protein
group_8007,hypothetical protein
group_8006,hypothetical protein
group_8005,hypothetical protein
group_7976,hypothetical protein
group_7975,hypothetical protein
glnD_2,Bifunctional uridylyltransferase/uridylyl-removing enzyme
group_7963,hypothetical protein
group_7962,hypothetical protein
group_7957,hypothetical protein
group_7947,hypothetical protein
group_7914,hypothetical protein
group_7912,hypothetical protein;3-oxoacyl-[acyl-carrier-protein] reductase FabG
group_7911,hypothetical protein
group_7908,hypothetical protein
group_7848,hypothetical protein
group_7825,hypothetical protein
moaA_1,GTP 3'8-cyclase
group_7809,hypothetical protein
group_7803,hypothetical protein
group_7801,hypothetical protein
group_7776,hypothetical protein
group_7748,hypothetical protein
group_7747,hypothetical protein
group_7746,hypothetical protein
group_7737,ISL3 family transposase ISPst9
group_7718,hypothetical protein
group_7685,hypothetical protein
group_7677,hypothetical protein
group_7642,hypothetical protein
group_7641,hypothetical protein
group_7640,hypothetical protein
group_7619,hypothetical protein
group_7618,hypothetical protein
virB6,Type IV secretion system protein VirB6
group_7617,hypothetical protein
group_7616,hypothetical protein
group_7615,Type IV secretion system protein virB5
group_7614,Type IV secretion system protein VirB11
group_7613,hypothetical protein
group_7612,hypothetical protein
group_7611,hypothetical protein
group_7610,hypothetical protein
group_7609,Cardiolipin synthase
group_7608,hypothetical protein
group_7607,hypothetical protein
group_7606,hypothetical protein
group_7605,hypothetical protein
group_7604,hypothetical protein
group_7603,Type IV secretion system protein virB8
group_7602,hypothetical protein
group_7601,Coupling protein TraD
group_7600,hypothetical protein
group_7599,hypothetical protein
group_7598,ATP-dependent RecD-like DNA helicase
group_7597,hypothetical protein
group_7596,hypothetical protein
group_7595,hypothetical protein
group_7594,hypothetical protein
group_7593,hypothetical protein
mazE,Antitoxin MazE
group_7592,Type IV secretion system protein virB9
group_7591,hypothetical protein
group_7590,Type IV secretion system protein virB4
group_7589,DNA-invertase hin
group_7588,hypothetical protein
group_7587,hypothetical protein
group_7586,hypothetical protein
group_7585,hypothetical protein
group_7584,hypothetical protein
group_7583,hypothetical protein
group_7582,hypothetical protein
group_7581,hypothetical protein
group_7580,hypothetical protein
group_7579,hypothetical protein
group_7576,hypothetical protein
group_7572,hypothetical protein
group_7571,hypothetical protein
group_7570,hypothetical protein
group_7569,hypothetical protein
group_7557,hypothetical protein
group_7553,Putative type-1 restriction enzyme specificity protein MG438
group_7542,hypothetical protein
uvrA_2,UvrABC system protein A
group_7534,hypothetical protein
group_7497,RNA polymerase-associated protein RapA
group_7496,hypothetical protein
group_7494,hypothetical protein
group_7493,hypothetical protein
group_7492,hypothetical protein
group_7489,hypothetical protein
group_7488,hypothetical protein
group_7487,hypothetical protein
group_7485,hypothetical protein
group_7483,hypothetical protein
group_7477,hypothetical protein
group_7421,Tyrosine recombinase XerC
group_7403,hypothetical protein
group_7402,hypothetical protein
group_7401,hypothetical protein
group_7376,hypothetical protein
group_7371,hypothetical protein
group_7363,hypothetical protein
group_7362,hypothetical protein
group_7361,hypothetical protein
group_7360,hypothetical protein
group_7352,hypothetical protein
group_7341,hypothetical protein
group_7339,hypothetical protein
group_7297,hypothetical protein
cysH_3,Phosphoadenosine phosphosulfate reductase
srp54,Signal recognition particle 54 kDa protein
group_7226,Tyrosine recombinase XerC
group_7224,hypothetical protein
group_7220,Plasmid segregation protein ParM
group_7218,Protein UmuC
group_7216,hypothetical protein
group_7215,hypothetical protein
group_7214,hypothetical protein
group_7213,DNA adenine methyltransferase YhdJ
lpxD_3,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
group_7212,Protein UmuD
group_7210,hypothetical protein
group_7209,hypothetical protein
group_7202,hypothetical protein
group_7200,hypothetical protein
group_7190,hypothetical protein
group_7124,IS3 family transposase ISPa74
group_7096,hypothetical protein
group_7095,hypothetical protein
group_7074,hypothetical protein
group_7027,hypothetical protein
yeeR,Inner membrane protein YeeR
group_7024,hypothetical protein
group_7020,hypothetical protein
group_7019,hypothetical protein
group_7007,hypothetical protein
group_6989,hypothetical protein
group_6988,hypothetical protein
group_6974,hypothetical protein
group_6943,hypothetical protein
papF,Fimbrial adapter PapF
group_6928,hypothetical protein
group_6905,hypothetical protein
group_6904,putative HTH-type transcriptional regulator
group_6903,hypothetical protein
group_6886,hypothetical protein
group_6885,hypothetical protein
group_6878,hypothetical protein
group_6877,hypothetical protein
group_6868,hypothetical protein
group_6867,hypothetical protein
group_6866,ATP-dependent zinc metalloprotease FtsH
group_6865,hypothetical protein
group_6828,hypothetical protein
group_6810,hypothetical protein
group_6746,hypothetical protein
clsA_2,Cardiolipin synthase A
group_6736,hypothetical protein
group_6735,hypothetical protein
finO,Fertility inhibition protein
group_6734,hypothetical protein
group_6733,hypothetical protein
group_6731,hypothetical protein
group_6730,hypothetical protein
group_6729,hypothetical protein
group_6728,hypothetical protein
group_6727,hypothetical protein
group_6726,hypothetical protein
traJ,Protein TraJ
group_6725,hypothetical protein
group_6724,DNA adenine methyltransferase YhdJ
group_6723,hypothetical protein
traA,Pilin
esiB,Secretory immunoglobulin A-binding protein EsiB
group_6722,hypothetical protein
group_6721,hypothetical protein
group_6720,hypothetical protein
group_6719,hypothetical protein
traM,Relaxosome protein TraM
group_6718,hypothetical protein
group_6717,hypothetical protein
group_6716,hypothetical protein
group_6715,hypothetical protein
group_6714,hypothetical protein
traQ,Protein TraQ
noc_1,Nucleoid occlusion protein
group_6713,Protein TraV
group_6712,hypothetical protein
group_6710,hypothetical protein
group_6709,hypothetical protein
group_6708,hypothetical protein
group_6707,hypothetical protein
group_6706,hypothetical protein
group_6705,hypothetical protein
group_6704,hypothetical protein
group_6703,hypothetical protein
group_6702,hypothetical protein
group_6701,hypothetical protein
group_6700,hypothetical protein
group_6699,Mating pair stabilization protein TraN
group_6698,hypothetical protein
group_6697,hypothetical protein
klcA_2,Antirestriction protein KlcA
group_6696,hypothetical protein
group_6695,hypothetical protein
group_6694,Protein TraC
group_6693,Protein PsiB
group_6692,hypothetical protein
group_6691,hypothetical protein
group_6690,hypothetical protein
group_6689,hypothetical protein
